Austria,AUSTRIA
Belgium,BELGIA
Bulgaria,BULGARIA
Croatia,CROATIA
Cyprus,CIPRU
Czech Republic,CEHIA
Denmark,DANEMARCA
Estonia,ESTONIA
Finland,FINLANDA
France,FRANTA
Germany,GERMANIA
Greece,GRECIA
Hungary,UNGARIA
Ireland,IRLANDA
Italy,ITALIA
Latvia,LETONIA
Lithuania,LITUANIA
Luxembourg,LUXEMBURG
Malta,MALTA
Netherlands,OLANDA
Poland,POLONIA
Portugal,PORTUGALIA
Romania,ROMANIA
Slovak Republic,SLOVACIA
Slovenia,SLOVENIA
Spain,SPANIA
Sweden,SUEDIA
United Kingdom,MAREA BRITANIE
Canada,CANADA
United States,S.U.A.
Australia,AUSTRALIA
New Zealand,NOUA ZEELANDA
Switzerland,ELVETIA
Norway,NORVEGIA
Iceland,ISLANDA
China,CHINA
Japan,JAPONIA
Russian Federation,FEDERATIA RUSA
